,Average Eff PSF,Average Eff. Rental,Average Face PSF,Average Face Rental,Average Govt Rates PSF/ Mth,Average Govt Rent PSF/ Mth,Average Govt. Rates/ Mth,Average Govt. Rent/ Mth,Average MFA,Average Net PSF,Average Net Rental,Count,Label,Trade Name,Unit
135,45.06333333,47677.00667,45.44666667,48082.57333,9.035,2.788333333,9559.671667,2948.968333,1058,45.44666667,48082.57333,4,1,Bank of ChXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 30
136,44.97833333,89956.66667,45.45,90900,4.428333333,1.405,8855.97,2808.23,2000,45.47333333,90946.66667,4,1,Bank of ChXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 31
137,45.06333333,114235.55,45.44666667,115207.3,3.771666667,1.161666667,9559.671667,2948.968333,2535,45.44666667,115207.3,4,1,Bank of ChXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 32-33
138,45.06333333,47677.00667,45.44666667,48082.57333,9.035,2.788333333,9559.671667,2948.968333,1058,45.44666667,48082.57333,2,1,BANK OF CHXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 30
139,44.97833333,89956.66667,45.45,90900,4.428333333,1.405,8855.97,2808.23,2000,45.47333333,90946.66667,2,1,BANK OF CHXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 31
140,45.06333333,114235.55,45.44666667,115207.3,3.771666667,1.161666667,9559.671667,2948.968333,2535,45.44666667,115207.3,2,1,BANK OF CHXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 32-33
141,61.4225,113017.4,61.975,114034,3.8975,1.1775,7172.83875,2169.13625,1840,61.7025,113532.6,6,1,Standard CXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 35
142,63.02571429,92584.77429,63.67857143,93543.82143,5.377142857,1.564285714,7897.705714,2299.118571,1469,63.34571429,93054.85429,6,1,Standard CXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 36
143,63.02571429,92584.77429,63.67857143,93543.82143,5.377142857,1.564285714,7897.705714,2299.118571,1469,63.34571429,93054.85429,1,0,Angel FaceXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 36
144,46.76,100206.68,45.87571429,98311.65571,1.892857143,1.081428571,4056.438571,2312.522857,2143,46.87,100442.41,7,1,Lee Hong DXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 37
145,37.112,60010.104,35.948,58127.916,1.754,1.052,2834.566,1700.74,1617,37.314,60336.738,5,1,CR CareXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 38
146,45.02833333,70829.56833,45.29,71241.17,2.031666667,1.103333333,3193.415,1738.271667,1573,46.09833333,72512.67833,1,0,FuannaXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 39
